Label;Part Type;mn;mpn;part number;
R47;10kΩ Resistor;;;;
R48;10kΩ Resistor;;;;
R49;10kΩ Resistor;;;;
R50;10kΩ Resistor;;;;
R51;10kΩ Resistor;;;;
R52;10kΩ Resistor;;;;
R53;10kΩ Resistor;;;;
R54;10kΩ Resistor;;;;
R55;10kΩ Resistor;;;;
R56;10kΩ Resistor;;;;
R57;10kΩ Resistor;;;;
R58;10kΩ Resistor;;;;
R59;450Ω Resistor;;;;
R60;450Ω Resistor;;;;
R61;4.7kΩ Resistor;;;;
R62;4.7kΩ Resistor;;;;
R63;4.7kΩ Resistor;;;;
R64;4.7kΩ Resistor;;;;
R65;4.7kΩ Resistor;;;;
R66;4.7kΩ Resistor;;;;
R67;4.7kΩ Resistor;;;;
R68;4.7kΩ Resistor;;;;
R69;4.7kΩ Resistor;;;;
R70;4.7kΩ Resistor;;;;
R71;4.7kΩ Resistor;;;;
R72;4.7kΩ Resistor;;;;
R73;4.7kΩ Resistor;;;;
R74;4.7kΩ Resistor;;;;
R75;4.7kΩ Resistor;;;;
R76;10kΩ Resistor;;;;
R77;10kΩ Resistor;;;;
R78;10kΩ Resistor;;;;
R79;10kΩ Resistor;;;;
R80;10kΩ Resistor;;;;
R81;10kΩ Resistor;;;;
R82;10kΩ Resistor;;;;
R83;10kΩ Resistor;;;;
R84;10kΩ Resistor;;;;
R85;10kΩ Resistor;;;;
R86;10kΩ Resistor;;;;
R87;10kΩ Resistor;;;;
R88;10kΩ Resistor;;;;
R89;10kΩ Resistor;;;;
R90;10kΩ Resistor;;;;
R91;10kΩ Resistor;;;;
R92;10kΩ Resistor;;;;
R93;10kΩ Resistor;;;;
R94;10kΩ Resistor;;;;
R95;10kΩ Resistor;;;;
R96;10kΩ Resistor;;;;
R97;10kΩ Resistor;;;;
R98;10kΩ Resistor;;;;
R99;10kΩ Resistor;;;;
R100;450Ω Resistor;;;;
R101;450Ω Resistor;;;;
R102;4.7kΩ Resistor;;;;
R103;4.7kΩ Resistor;;;;
R104;4.7kΩ Resistor;;;;
R105;4.7kΩ Resistor;;;;
R106;4.7kΩ Resistor;;;;
R107;4.7kΩ Resistor;;;;
R108;4.7kΩ Resistor;;;;
R109;4.7kΩ Resistor;;;;
R110;4.7kΩ Resistor;;;;
R111;4.7kΩ Resistor;;;;
R112;4.7kΩ Resistor;;;;
R113;4.7kΩ Resistor;;;;
R114;4.7kΩ Resistor;;;;
R115;4.7kΩ Resistor;;;;
R116;4.7kΩ Resistor;;;;
R117;10kΩ Resistor;;;;
R118;10kΩ Resistor;;;;
R119;10kΩ Resistor;;;;
R120;10kΩ Resistor;;;;
R121;10kΩ Resistor;;;;
R122;10kΩ Resistor;;;;
R123;10kΩ Resistor;;;;
R124;10kΩ Resistor;;;;
R125;10kΩ Resistor;;;;
R126;10kΩ Resistor;;;;
R127;10kΩ Resistor;;;;
R128;10kΩ Resistor;;;;
R129;10kΩ Resistor;;;;
R130;10kΩ Resistor;;;;
R131;10kΩ Resistor;;;;
R132;10kΩ Resistor;;;;
R133;10kΩ Resistor;;;;
R134;10kΩ Resistor;;;;
R135;10kΩ Resistor;;;;
R136;10kΩ Resistor;;;;
R137;10kΩ Resistor;;;;
R138;10kΩ Resistor;;;;
R139;10kΩ Resistor;;;;
R140;10kΩ Resistor;;;;
R141;450Ω Resistor;;;;
R142;450Ω Resistor;;;;
R143;4.7kΩ Resistor;;;;
R144;4.7kΩ Resistor;;;;
R145;4.7kΩ Resistor;;;;
R146;4.7kΩ Resistor;;;;
R147;4.7kΩ Resistor;;;;
R148;4.7kΩ Resistor;;;;
R149;4.7kΩ Resistor;;;;
R150;4.7kΩ Resistor;;;;
R151;4.7kΩ Resistor;;;;
R152;4.7kΩ Resistor;;;;
R153;4.7kΩ Resistor;;;;
R154;4.7kΩ Resistor;;;;
R155;4.7kΩ Resistor;;;;
R156;4.7kΩ Resistor;;;;
R157;4.7kΩ Resistor;;;;
R158;10kΩ Resistor;;;;
R159;10kΩ Resistor;;;;
R160;10kΩ Resistor;;;;
R161;10kΩ Resistor;;;;
R162;10kΩ Resistor;;;;
R163;10kΩ Resistor;;;;
R164;10kΩ Resistor;;;;
R165;10kΩ Resistor;;;;
R166;10kΩ Resistor;;;;
R167;10kΩ Resistor;;;;
R168;10kΩ Resistor;;;;
R169;10kΩ Resistor;;;;
R170;10kΩ Resistor;;;;
R171;10kΩ Resistor;;;;
R172;10kΩ Resistor;;;;
R173;10kΩ Resistor;;;;
R174;10kΩ Resistor;;;;
R175;10kΩ Resistor;;;;
R176;10kΩ Resistor;;;;
R177;10kΩ Resistor;;;;
R178;10kΩ Resistor;;;;
R179;10kΩ Resistor;;;;
R180;10kΩ Resistor;;;;
R181;10kΩ Resistor;;;;
R182;450Ω Resistor;;;;
R183;450Ω Resistor;;;;
R184;4.7kΩ Resistor;;;;
R185;4.7kΩ Resistor;;;;
R186;4.7kΩ Resistor;;;;
R187;4.7kΩ Resistor;;;;
R188;4.7kΩ Resistor;;;;
R189;4.7kΩ Resistor;;;;
R190;4.7kΩ Resistor;;;;
R191;4.7kΩ Resistor;;;;
R192;4.7kΩ Resistor;;;;
R193;4.7kΩ Resistor;;;;
R194;4.7kΩ Resistor;;;;
R195;4.7kΩ Resistor;;;;
R196;4.7kΩ Resistor;;;;
R197;4.7kΩ Resistor;;;;
R198;4.7kΩ Resistor;;;;
R199;10kΩ Resistor;;;;
R200;10kΩ Resistor;;;;
R201;10kΩ Resistor;;;;
R202;10kΩ Resistor;;;;
R203;10kΩ Resistor;;;;
R204;10kΩ Resistor;;;;
R205;10kΩ Resistor;;;;
R206;10kΩ Resistor;;;;
R207;10kΩ Resistor;;;;
R208;10kΩ Resistor;;;;
R209;10kΩ Resistor;;;;
R210;10kΩ Resistor;;;;
R211;10kΩ Resistor;;;;
R212;10kΩ Resistor;;;;
R213;10kΩ Resistor;;;;
R214;10kΩ Resistor;;;;
R215;10kΩ Resistor;;;;
R216;10kΩ Resistor;;;;
R217;10kΩ Resistor;;;;
R218;10kΩ Resistor;;;;
R219;10kΩ Resistor;;;;
R220;10kΩ Resistor;;;;
R221;10kΩ Resistor;;;;
R222;10kΩ Resistor;;;;
R223;450Ω Resistor;;;;
R224;450Ω Resistor;;;;
R225;4.7kΩ Resistor;;;;
R226;4.7kΩ Resistor;;;;
R227;4.7kΩ Resistor;;;;
R228;4.7kΩ Resistor;;;;
R229;4.7kΩ Resistor;;;;
R230;4.7kΩ Resistor;;;;
R231;4.7kΩ Resistor;;;;
R232;4.7kΩ Resistor;;;;
R233;4.7kΩ Resistor;;;;
R234;4.7kΩ Resistor;;;;
R235;4.7kΩ Resistor;;;;
R236;4.7kΩ Resistor;;;;
R237;4.7kΩ Resistor;;;;
R238;4.7kΩ Resistor;;;;
R239;4.7kΩ Resistor;;;;
R240;10kΩ Resistor;;;;
R241;10kΩ Resistor;;;;
R242;10kΩ Resistor;;;;
R243;10kΩ Resistor;;;;
R244;10kΩ Resistor;;;;
R245;10kΩ Resistor;;;;
R246;10kΩ Resistor;;;;
R247;10kΩ Resistor;;;;
R248;10kΩ Resistor;;;;
R249;10kΩ Resistor;;;;
R250;10kΩ Resistor;;;;
R251;10kΩ Resistor;;;;
R252;10kΩ Resistor;;;;
R253;10kΩ Resistor;;;;
R254;10kΩ Resistor;;;;
R255;10kΩ Resistor;;;;
R256;10kΩ Resistor;;;;
R257;10kΩ Resistor;;;;
R258;10kΩ Resistor;;;;
R259;10kΩ Resistor;;;;
R260;10kΩ Resistor;;;;
R261;10kΩ Resistor;;;;
R262;10kΩ Resistor;;;;
R263;10kΩ Resistor;;;;
R264;450Ω Resistor;;;;
R265;450Ω Resistor;;;;
R266;4.7kΩ Resistor;;;;
R267;4.7kΩ Resistor;;;;
R268;4.7kΩ Resistor;;;;
R269;4.7kΩ Resistor;;;;
R270;4.7kΩ Resistor;;;;
R271;4.7kΩ Resistor;;;;
R272;4.7kΩ Resistor;;;;
R273;4.7kΩ Resistor;;;;
R274;4.7kΩ Resistor;;;;
R275;4.7kΩ Resistor;;;;
R276;4.7kΩ Resistor;;;;
R277;4.7kΩ Resistor;;;;
R278;4.7kΩ Resistor;;;;
R279;4.7kΩ Resistor;;;;
R280;4.7kΩ Resistor;;;;
R281;10kΩ Resistor;;;;
R282;10kΩ Resistor;;;;
R283;10kΩ Resistor;;;;
R284;10kΩ Resistor;;;;
R285;10kΩ Resistor;;;;
R286;10kΩ Resistor;;;;
R287;10kΩ Resistor;;;;
R288;10kΩ Resistor;;;;
R289;10kΩ Resistor;;;;
R290;10kΩ Resistor;;;;
R291;10kΩ Resistor;;;;
R292;10kΩ Resistor;;;;
R293;10kΩ Resistor;;;;
R294;10kΩ Resistor;;;;
R295;10kΩ Resistor;;;;
R296;10kΩ Resistor;;;;
R297;10kΩ Resistor;;;;
R298;10kΩ Resistor;;;;
R299;10kΩ Resistor;;;;
R300;10kΩ Resistor;;;;
R301;10kΩ Resistor;;;;
R302;10kΩ Resistor;;;;
R303;10kΩ Resistor;;;;
R304;10kΩ Resistor;;;;
R305;450Ω Resistor;;;;
R306;450Ω Resistor;;;;
R307;4.7kΩ Resistor;;;;
R308;4.7kΩ Resistor;;;;
R309;4.7kΩ Resistor;;;;
R310;4.7kΩ Resistor;;;;
R311;4.7kΩ Resistor;;;;
R312;4.7kΩ Resistor;;;;
R313;4.7kΩ Resistor;;;;
R314;4.7kΩ Resistor;;;;
R315;4.7kΩ Resistor;;;;
R316;4.7kΩ Resistor;;;;
R317;4.7kΩ Resistor;;;;
R318;4.7kΩ Resistor;;;;
R319;4.7kΩ Resistor;;;;
R320;4.7kΩ Resistor;;;;
R321;4.7kΩ Resistor;;;;
R322;10kΩ Resistor;;;;
R323;10kΩ Resistor;;;;
R324;10kΩ Resistor;;;;
R325;10kΩ Resistor;;;;
R326;10kΩ Resistor;;;;
R327;10kΩ Resistor;;;;
R328;10kΩ Resistor;;;;
R329;10kΩ Resistor;;;;
R330;10kΩ Resistor;;;;
R331;10kΩ Resistor;;;;
R332;10kΩ Resistor;;;;
R333;10kΩ Resistor;;;;
R334;10kΩ Resistor;;;;
R335;10kΩ Resistor;;;;
S1;Toggle Switch;;;;
S2;Toggle Switch;;;;
S3;Toggle Switch;;;;
S4;Toggle Switch;;;;
S5;Toggle Switch;;;;
S6;Toggle Switch;;;;
S7;Toggle Switch;;;;
S8;Toggle Switch;;;;
S9;Toggle Switch;;;;
S10;Toggle Switch;;;;
S11;Toggle Switch;;;;
S12;Toggle Switch;;;;
S13;Toggle Switch;;;;
S14;Toggle Switch;;;;
S15;Toggle Switch;;;;
S16;Toggle Switch;;;;
S17;Toggle Switch;;;;
VCC2;4 x AAA Battery Mount;;;;
VM1;Multimeter (DC Voltage);;;;

Amount;Part Type;mn;mpn;part number;
192;10kΩ Resistor;;;;
1;4 x AAA Battery Mount;;;;
120;4.7kΩ Resistor;;;;
16;450Ω Resistor;;;;
1;Multimeter (DC Voltage);;;;
232;NPN-Transistor;;;;
16;Red (633nm) LED;;;;
17;Toggle Switch;;;;
